name,http_last_check,http_status,https_last_check,https_status
ac-aix-marseille.fr,2022-12-13,301 Moved Permanently https://www.ac-aix-marseille.fr/,2022-12-13,301 Moved Permanently https://www.ac-aix-marseille.fr/
www.ac-aix-marseille.fr,2022-12-13,200 OK,2022-12-13,200 OK
ac-amiens.fr,2022-12-13,301 Moved Permanently https://www.ac-amiens.fr/,2022-12-13,301 Moved Permanently https://www.ac-amiens.fr/
www.ac-amiens.fr,2022-12-13,200 OK,2022-12-13,200 OK
ac-besancon.fr,2022-12-13,301 Moved Permanently https://www.ac-besancon.fr/,2022-12-13,301 Moved Permanently https://www.ac-besancon.fr/
www.ac-besancon.fr,2022-12-13,200 OK,2022-12-13,200 OK
ac-bordeaux.fr,2022-12-13,301 Moved Permanently https://www.ac-bordeaux.fr/,2022-12-13,301 Moved Permanently https://www.ac-bordeaux.fr/
www.ac-bordeaux.fr,2022-12-13,200 OK,2022-12-13,200 OK
ac-caen.fr,2022-12-13,302 Moved Temporarily https://www.ac-caen.fr/,2022-12-13,302 Moved Temporarily https://www.ac-caen.fr/
www.ac-caen.fr,2022-12-13,301 Moved Permanently https://www.ac-normandie.fr/,2022-12-13,301 Moved Permanently https://www.ac-normandie.fr/
ac-clermont.fr,2022-12-13,301 Moved Permanently https://www.ac-clermont.fr/,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'ac-clermont.fr'. (_ssl.c:997)"
www.ac-clermont.fr,2022-12-13,200 OK,2022-12-13,200 OK
ac-corse.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
www.ac-corse.fr,2022-12-13,200 OK,2022-12-13,200 OK
ac-creteil.fr,2022-12-13,301 Moved Permanently https://www.ac-creteil.fr/,2022-12-13,301 Moved Permanently https://www.ac-creteil.fr/
www.ac-creteil.fr,2022-12-13,200 OK,2022-12-13,200 OK
ac-dijon.fr,2022-12-13,301 Moved Permanently https://www.ac-dijon.fr/,2022-12-13,301 Moved Permanently https://www.ac-dijon.fr/
www.ac-dijon.fr,2022-12-13,200 OK,2022-12-13,200 OK
ac-grenoble.fr,2022-12-13,301 Moved Permanently http://www.ac-grenoble.fr/,2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997)
www.ac-grenoble.fr,2022-12-13,301 Moved Permanently https://www1.ac-grenoble.fr,2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997)
www1.ac-grenoble.fr,2022-12-13,200 OK,2022-12-13,200 OK
ac-guadeloupe.fr,2022-12-13,301 Moved Permanently https://www.ac-guadeloupe.fr/,2022-12-13,301 Moved Permanently https://www.ac-guadeloupe.fr/
www.ac-guadeloupe.fr,2022-12-13,200 OK,2022-12-13,200 OK
ac-guyane.fr,2022-12-13,301 Moved Permanently https://www.ac-guyane.fr/,2022-12-13,301 Moved Permanently https://www.ac-guyane.fr/
www.ac-guyane.fr,2022-12-13,200 OK,2022-12-13,200 OK
ac-lille.fr,2022-12-13,301 Moved Permanently http://www.ac-lille.fr/,2022-12-13,301 Moved Permanently http://www.ac-lille.fr/
