name,http_last_check,http_status,https_last_check,https_status
france.cz,2022-12-13,301 Moved Permanently https://cz.ambafrance.org/,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'france.cz'. (_ssl.c:997)"
botschaft-frankreich.de,2022-12-13,Name or service not known,2022-12-13,Name or service not known
www.botschaft-frankreich.de,2022-12-13,301 Moved Permanently http://de.ambafrance.org/,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.botschaft-frankreich.de'. (_ssl.c:997)"
1-ambassadeur-1-entrepreneur.eu,2022-12-13,301 Moved Permanently https://1ambassadeur1entrepreneur.fr,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '1-ambassadeur-1-entrepreneur.eu'. (_ssl.c:997)"
assemblee-afe.eu,2022-12-13,301 Moved Permanently http://www.assemblee-afe.fr,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'assemblee-afe.eu'. (_ssl.c:997)"
archives-climat.fr,2022-12-13,200 OK,2022-12-13,Timeout
ambafrance.org,2022-12-13,301 Moved Permanently https://diplomatie.gouv.fr/fr/le-ministere-et-son-reseau/annuaires-du-ministere-de-l-europe-et-des-affaires-etrangeres/ambassades-et-consulats-francais-a-l-etranger/,2022-12-13,301 Moved Permanently https://diplomatie.gouv.fr/fr/le-ministere-et-son-reseau/annuaires-du-ministere-de-l-europe-et-des-affaires-etrangeres/ambassades-et-consulats-francais-a-l-etranger/
ad.ambafrance.org,2022-12-13,200 OK,2022-12-13,200 OK
ae.ambafrance.org,2022-12-13,200 OK,2022-12-13,200 OK
af.ambafrance.org,2022-12-13,200 OK,2022-12-13,200 OK
al.ambafrance.org,2022-12-13,200 OK,2022-12-13,200 OK
am.ambafrance.org,2022-12-13,200 OK,2022-12-13,200 OK
ambassadesvertes.ambafrance.org,2022-12-13,401 Unauthorized,2022-12-13,401 Unauthorized
antispam.ambafrance.org,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'antispam.ambafrance.org'. (_ssl.c:997)",2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'antispam.ambafrance.org'. (_ssl.c:997)"
ao.ambafrance.org,2022-12-13,200 OK,2022-12-13,200 OK
ar.ambafrance.org,2022-12-13,200 OK,2022-12-13,200 OK
at.ambafrance.org,2022-12-13,200 OK,2022-12-13,200 OK
au.ambafrance.org,2022-12-13,200 OK,2022-12-13,200 OK
az.ambafrance.org,2022-12-13,200 OK,2022-12-13,200 OK
ba.ambafrance.org,2022-12-13,200 OK,2022-12-13,200 OK
bd.ambafrance.org,2022-12-13,200 OK,2022-12-13,200 OK
be.ambafrance.org,2022-12-13,200 OK,2022-12-13,200 OK
bf.ambafrance.org,2022-12-13,200 OK,2022-12-13,200 OK
bg.ambafrance.org,2022-12-13,200 OK,2022-12-13,200 OK
bh.ambafrance.org,2022-12-13,200 OK,2022-12-13,200 OK
bi.ambafrance.org,2022-12-13,200 OK,2022-12-13,200 OK
bj.ambafrance.org,2022-12-13,200 OK,2022-12-13,200 OK
bmw.ambafrance.org,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'bmw.ambafrance.org'. (_ssl.c:997)",2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'bmw.ambafrance.org'. (_ssl.c:997)"
bn.ambafrance.org,2022-12-13,200 OK,2022-12-13,200 OK
bo.ambafrance.org,2022-12-13,200 OK,2022-12-13,200 OK
