name,http_last_check,http_status,https_last_check,https_status
aphp.fr,2022-12-13,302 Moved Temporarily https://aphp.fr:443/,2022-12-13,301 Moved Permanently https://www.aphp.fr/
aaa.aphp.fr,2022-12-13,Timeout,2022-12-13,Timeout
achats-ageps.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
addictovigilance.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
administration-goodmeeting.aphp.fr,2022-12-13,200 OK,2022-12-13,403 Forbidden
affairesjuridiques.aphp.fr,2022-12-13,200 OK,2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:997)
ageps.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
ambroisepare.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
ami-dd.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
anomaliescervelet.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
antithrombotiques.aphp.fr,2022-12-13,Timeout,2022-12-13,Timeout
aphp.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
soutenir.aphp-centre.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
soutenir.aphp-sorbonne-universite.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
archives.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
bbs-iamwam-q001.bbq.aphp.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
blogs.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
bo-myaphp.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
calipsso.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
www.calipsso.aphp.fr,2022-12-13,301 Moved Permanently http://calipsso.aphp.fr//,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.calipsso.aphp.fr'. (_ssl.c:997)"
campus.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
cancer.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
cancer-estparisien.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
cancer-ghparis10.aphp.fr,2022-12-13,410 Gone,2022-12-13,410 Gone
cancer-grossesse.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
cancer-hopitalpompidou.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
cancer-psl.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
www.cancer-psl.aphp.fr,2022-12-13,301 Moved Permanently http://cancer-psl.aphp.fr//,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.cancer-psl.aphp.fr'. (_ssl.c:997)"
cancer-seniors-paris-est.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
cardiogen.aphp.fr,2022-12-13,302 Moved Temporarily http://www.cardiogen.aphp.fr/articles/articles.php?id=1&cat=1,2022-12-13,"Connect call failed ('164.2.250.209', 443)"
www.cardiogen.aphp.fr,2022-12-13,200 OK,2022-12-13,"Connect call failed ('164.2.250.209', 443)"
cedit.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
centre-memoire.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
centremeary.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
www.centremeary.aphp.fr,2022-12-13,301 Moved Permanently http://centremeary.aphp.fr//,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.centremeary.aphp.fr'. (_ssl.c:997)"
cfdc.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
charlesfoix.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
chirurgie-digestive-sat.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
chirurgie-refractive.aphp.fr,2022-12-13,200 OK,2022-12-13,"Connect call failed ('164.2.250.195', 443)"
chu-mondor.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
chu93.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
cleanweb.aphp.fr,2022-12-13,302 Moved Temporarily https://cleanweb.aphp.fr:443/,2022-12-13,404 Not Found
cme.aphp.fr,2022-12-13,302 Moved Temporarily https://cme.aphp.fr:443/,2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997)
cmfplastique-enfant.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
www.cmfplastique-enfant.aphp.fr,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.cmfplastique-enfant.aphp.fr'. (_ssl.c:997)",2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.cmfplastique-enfant.aphp.fr'. (_ssl.c:997)"
cnr-escherichiacoli-robertdebre.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
compare.aphp.fr,2022-12-13,302 Moved Temporarily https://compare.aphp.fr:443/,2022-12-13,200 OK
concours.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
corevih-idfcentre.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
covid-documentation.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
creutzfeldt-jakob.aphp.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
www.creutzfeldt-jakob.aphp.fr,2022-12-13,200 OK,2022-12-13,"Connect call failed ('164.2.250.180', 443)"
crmerc.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
darsaintantoine.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
dhu.aphp.fr,2022-12-13,200 OK,2022-12-13,"Connect call failed ('164.2.250.41', 443)"
diabete-robertdebre.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
direct.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
disphelif.aphp.fr,2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997),2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997)
don-hopitaux-nord.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
eds.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
electionscommissionsoins.aphp.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
endocrino-sat.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
epilepsie-robertdebre.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
espace-emploi.aphp.fr,2022-12-13,302 Moved Temporarily https://espace-emploi.aphp.fr:443/,2022-12-13,200 OK
etabpharma-ageps.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
ethique-clinique.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
evenementiels.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
fcm.aphp.fr,2022-12-13,200 OK,2022-12-13,"Connect call failed ('164.2.250.141', 443)"
fertilite-bichat.aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
