name,http_last_check,http_status,https_last_check,https_status
niedersoultzbach.hanau-lapetitepierre.alsace,2022-12-13,200 OK,2022-12-13,200 OK
obersoultzbach.hanau-lapetitepierre.alsace,2022-12-13,200 OK,2022-12-13,200 OK
schoenbourg.hanau-lapetitepierre.alsace,2022-12-13,200 OK,2022-12-13,200 OK
handschuheim.alsace,2022-12-13,200 OK,2022-12-13,200 OK
holtzheim.alsace,2022-12-13,301 Moved Permanently http://www.holtzheim.alsace/,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'holtzheim.alsace'. (_ssl.c:997)"
www.holtzheim.alsace,2022-12-13,200 OK,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.holtzheim.alsace'. (_ssl.c:997)"
reguisheim.alsace,2022-12-13,200 OK,2022-12-13,200 OK
saint-louis.alsace,2022-12-13,301 Moved Permanently https://www.saint-louis.fr/,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'saint-louis.alsace'. (_ssl.c:997)"
seebach.alsace,2022-12-13,301 Moved Permanently https://www.seebach.alsace/,2022-12-13,301 Moved Permanently https://www.seebach.alsace/
www.seebach.alsace,2022-12-13,200 OK,2022-12-13,200 OK
barreau.biz,2022-12-13,200 OK,2022-12-13,200 OK
www.barreau.biz,2022-12-13,200 OK,2022-12-13,200 OK
abers-iroise.bzh,2022-12-13,No address associated with hostname,2022-12-13,No address associated with hostname
allaire.bzh,2022-12-13,301 Moved Permanently https://www.allaire.bzh/,2022-12-13,301 Moved Permanently https://www.allaire.bzh/
www.allaire.bzh,2022-12-13,200 OK,2022-12-13,200 OK
arzal.bzh,2022-12-13,301 Moved Permanently https://www.arzal.bzh/,2022-12-13,301 Moved Permanently https://www.arzal.bzh/
www.arzal.bzh,2022-12-13,200 OK,2022-12-13,200 OK
bonrepossurblavet.bzh,2022-12-13,200 OK,2022-12-13,"Connect call failed ('217.70.184.38', 443)"
www.bonrepossurblavet.bzh,2022-12-13,404 Vhost unknown.,2022-12-13,Network is unreachable
megalis.bretagne.bzh,2022-12-13,301 Moved Permanently https://www.megalis.bretagne.bzh/,2022-12-13,301 Moved Permanently https://www.megalis.bretagne.bzh/
ccpi.bzh,2022-12-13,No address associated with hostname,2022-12-13,No address associated with hostname
ccpld.bzh,2022-12-13,302 Moved Temporarily http://www.pays-landerneau-daoulas.fr/,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'ccpld.bzh'. (_ssl.c:997)"
chateauneufdufaou.bzh,2022-12-13,200 OK,2022-12-13,Network is unreachable
www.chateauneufdufaou.bzh,2022-12-13,301 Moved Permanently https://%chateauneufdufaou.bzh/,2022-12-13,200 OK
www.combourg.bzh,2022-12-13,200 OK,2022-12-13,200 OK
combrit-saintemarine.bzh,2022-12-13,200 OK,2022-12-13,200 OK
credin.bzh,2022-12-13,200 OK,2022-12-13,200 OK
daoulas.bzh,2022-12-13,200 OK,2022-12-13,200 OK
www.daoulas.bzh,2022-12-13,301 Moved Permanently https://daoulas.bzh/,2022-12-13,301 Moved Permanently https://daoulas.bzh/
elven.bzh,2022-12-13,301 Moved Permanently https://www.elven.bzh/,2022-12-13,301 Moved Permanently https://www.elven.bzh/
www.elven.bzh,2022-12-13,200 OK,2022-12-13,200 OK
evellys.bzh,2022-12-13,301 Moved Permanently https://www.evellys.bzh/,2022-12-13,301 Moved Permanently https://www.evellys.bzh/
www.evellys.bzh,2022-12-13,200 OK,2022-12-13,200 OK
glazik.bzh,2022-12-13,301 Moved Permanently https://intranet.glazik.bzh/,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'glazik.bzh'. (_ssl.c:997)"
www.glazik.bzh,2022-12-13,200 OK,2022-12-13,200 OK
gouesnou.bzh,2022-12-13,301 Moved Permanently https://www.gouesnou.bzh/,2022-12-13,301 Moved Permanently https://www.gouesnou.bzh/
www.gouesnou.bzh,2022-12-13,200 OK,2022-12-13,200 OK
gourlizon.bzh,2022-12-13,301 Moved Permanently http://www.gourlizon.bzh,2022-12-13,"Connect call failed ('217.70.184.38', 443)"
www.gourlizon.bzh,2022-12-13,200 OK,2022-12-13,200 OK
guiler-sur-goyen.bzh,2022-12-13,301 Moved Permanently https://guiler-sur-goyen.bzh:443/,2022-12-13,200 OK
hlc.bzh,2022-12-13,302 Moved Temporarily http://www.hlc.bzh,2022-12-13,"Connect call failed ('213.186.33.5', 443)"
www.hlc.bzh,2022-12-13,200 OK,2022-12-13,"Connect call failed ('213.186.33.5', 443)"
kerlaz.bzh,2022-12-13,200 OK,2022-12-13,200 OK
kerpert.bzh,2022-12-13,301 Moved Permanently https://www.kerpert.bzh/,2022-12-13,301 Moved Permanently https://www.kerpert.bzh/
www.kerpert.bzh,2022-12-13,200 OK,2022-12-13,200 OK
laforest.bzh,2022-12-13,200 OK,2022-12-13,200 OK
lampaul-ploudalmezeau.bzh,2022-12-13,200 OK,2022-12-13,200 OK
langoat.bzh,2022-12-13,301 Moved Permanently https://www.langoat.bzh/,2022-12-13,301 Moved Permanently https://www.langoat.bzh/
www.langoat.bzh,2022-12-13,200 OK,2022-12-13,200 OK
langon35.bzh,2022-12-13,301 Moved Permanently https://www.langon35.bzh/,2022-12-13,301 Moved Permanently https://www.langon35.bzh/
www.langon35.bzh,2022-12-13,200 OK,2022-12-13,200 OK
lannedern.bzh,2022-12-13,301 Moved Permanently http://www.lannedern.bzh/,2022-12-13,301 Moved Permanently https://www.lannedern.bzh/
www.lannedern.bzh,2022-12-13,200 OK,2022-12-13,200 OK
lannilis.bzh,2022-12-13,200 OK,2022-12-13,200 OK
www.lannilis.bzh,2022-12-13,301 Moved Permanently https://lannilis.bzh/,2022-12-13,301 Moved Permanently https://lannilis.bzh/
lannion.bzh,2022-12-13,200 OK,2022-12-13,200 OK
www.lannion.bzh,2022-12-13,200 OK,2022-12-13,200 OK
larmor-plage.bzh,2022-12-13,301 Moved Permanently https://www.larmor-plage.bzh/,2022-12-13,301 Moved Permanently https://www.larmor-plage.bzh/
