name,http_last_check,http_status,https_last_check,https_status
ain.gouv.fr,2022-12-13,301 Moved Permanently https://www.ain.gouv.fr/,2022-12-13,301 Moved Permanently https://www.ain.gouv.fr/
www.ain.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
aisne.gouv.fr,2022-12-13,301 Moved Permanently http://www.aisne.gouv.fr/,2022-12-13,301 Moved Permanently http://www.aisne.gouv.fr/
www.aisne.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
allier.gouv.fr,2022-12-13,301 Moved Permanently https://www.allier.gouv.fr/,2022-12-13,301 Moved Permanently https://www.allier.gouv.fr/
www.allier.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
alpes-de-haute-provence.gouv.fr,2022-12-13,301 Moved Permanently http://www.alpes-de-haute-provence.gouv.fr/,2022-12-13,301 Moved Permanently http://www.alpes-de-haute-provence.gouv.fr/
www.alpes-de-haute-provence.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
alpes-maritimes.gouv.fr,2022-12-13,301 Moved Permanently http://www.alpes-maritimes.gouv.fr/,2022-12-13,301 Moved Permanently http://www.alpes-maritimes.gouv.fr/
www.alpes-maritimes.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
ardeche.gouv.fr,2022-12-13,301 Moved Permanently https://www.ardeche.gouv.fr/,2022-12-13,301 Moved Permanently https://www.ardeche.gouv.fr/
www.ardeche.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
ardennes.gouv.fr,2022-12-13,301 Moved Permanently https://www.ardennes.gouv.fr/,2022-12-13,301 Moved Permanently https://www.ardennes.gouv.fr/
www.ardennes.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
ariege.gouv.fr,2022-12-13,301 Moved Permanently http://www.ariege.gouv.fr/,2022-12-13,301 Moved Permanently http://www.ariege.gouv.fr/
www.ariege.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
aube.gouv.fr,2022-12-13,301 Moved Permanently http://www.aube.gouv.fr/,2022-12-13,301 Moved Permanently http://www.aube.gouv.fr/
www.aube.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
aude.gouv.fr,2022-12-13,301 Moved Permanently http://www.aude.gouv.fr/,2022-12-13,301 Moved Permanently http://www.aude.gouv.fr/
www.aude.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
aveyron.gouv.fr,2022-12-13,301 Moved Permanently https://www.aveyron.gouv.fr/,2022-12-13,301 Moved Permanently https://www.aveyron.gouv.fr/
www.aveyron.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
bas-rhin.gouv.fr,2022-12-13,301 Moved Permanently http://www.bas-rhin.gouv.fr/,2022-12-13,301 Moved Permanently http://www.bas-rhin.gouv.fr/
www.bas-rhin.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
bouches-du-rhone.gouv.fr,2022-12-13,301 Moved Permanently http://www.bouches-du-rhone.gouv.fr/,2022-12-13,301 Moved Permanently http://www.bouches-du-rhone.gouv.fr/
www.bouches-du-rhone.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
calvados.gouv.fr,2022-12-13,301 Moved Permanently https://www.calvados.gouv.fr/,2022-12-13,301 Moved Permanently https://www.calvados.gouv.fr/
www.calvados.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
cantal.gouv.fr,2022-12-13,301 Moved Permanently https://www.cantal.gouv.fr/,2022-12-13,301 Moved Permanently https://www.cantal.gouv.fr/
www.cantal.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
charente.gouv.fr,2022-12-13,301 Moved Permanently http://www.charente.gouv.fr/,2022-12-13,301 Moved Permanently http://www.charente.gouv.fr/
www.charente.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
charente-maritime.gouv.fr,2022-12-13,301 Moved Permanently http://www.charente-maritime.gouv.fr/,2022-12-13,301 Moved Permanently http://www.charente-maritime.gouv.fr/
www.charente-maritime.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
cher.gouv.fr,2022-12-13,301 Moved Permanently http://www.cher.gouv.fr/,2022-12-13,301 Moved Permanently http://www.cher.gouv.fr/
www.cher.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
correze.gouv.fr,2022-12-13,301 Moved Permanently http://www.correze.gouv.fr/,2022-12-13,301 Moved Permanently http://www.correze.gouv.fr/
www.correze.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
corse-du-sud.gouv.fr,2022-12-13,301 Moved Permanently https://www.corse-du-sud.gouv.fr/,2022-12-13,301 Moved Permanently https://www.corse-du-sud.gouv.fr/
www.corse-du-sud.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
cote-dor.gouv.fr,2022-12-13,301 Moved Permanently https://www.cote-dor.gouv.fr/,2022-12-13,301 Moved Permanently https://www.cote-dor.gouv.fr/
www.cote-dor.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
cotes-darmor.gouv.fr,2022-12-13,301 Moved Permanently http://www.cotes-darmor.gouv.fr/,2022-12-13,301 Moved Permanently http://www.cotes-darmor.gouv.fr/
www.cotes-darmor.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
creuse.gouv.fr,2022-12-13,301 Moved Permanently http://www.creuse.gouv.fr/,2022-12-13,301 Moved Permanently http://www.creuse.gouv.fr/
www.creuse.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
deux-sevres.gouv.fr,2022-12-13,301 Moved Permanently http://www.deux-sevres.gouv.fr/,2022-12-13,301 Moved Permanently http://www.deux-sevres.gouv.fr/
www.deux-sevres.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
dordogne.gouv.fr,2022-12-13,301 Moved Permanently http://www.dordogne.gouv.fr/,2022-12-13,301 Moved Permanently http://www.dordogne.gouv.fr/
www.dordogne.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
doubs.gouv.fr,2022-12-13,301 Moved Permanently http://www.doubs.gouv.fr/,2022-12-13,301 Moved Permanently http://www.doubs.gouv.fr/
www.doubs.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
drome.gouv.fr,2022-12-13,301 Moved Permanently https://www.drome.gouv.fr/,2022-12-13,301 Moved Permanently https://www.drome.gouv.fr/
www.drome.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
essonne.gouv.fr,2022-12-13,301 Moved Permanently http://www.essonne.gouv.fr/,2022-12-13,301 Moved Permanently http://www.essonne.gouv.fr/
www.essonne.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
eure-et-loir.gouv.fr,2022-12-13,301 Moved Permanently http://www.eure-et-loir.gouv.fr/,2022-12-13,301 Moved Permanently http://www.eure-et-loir.gouv.fr/
www.eure-et-loir.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
finistere.gouv.fr,2022-12-13,301 Moved Permanently http://www.finistere.gouv.fr/,2022-12-13,301 Moved Permanently http://www.finistere.gouv.fr/
www.finistere.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
gard.gouv.fr,2022-12-13,301 Moved Permanently http://www.gard.gouv.fr/,2022-12-13,301 Moved Permanently http://www.gard.gouv.fr/
www.gard.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
gers.gouv.fr,2022-12-13,301 Moved Permanently http://www.gers.gouv.fr/,2022-12-13,301 Moved Permanently http://www.gers.gouv.fr/
www.gers.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
gironde.gouv.fr,2022-12-13,301 Moved Permanently http://www.gironde.gouv.fr/,2022-12-13,301 Moved Permanently http://www.gironde.gouv.fr/
www.gironde.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
haut-rhin.gouv.fr,2022-12-13,301 Moved Permanently http://www.haut-rhin.gouv.fr/,2022-12-13,301 Moved Permanently http://www.haut-rhin.gouv.fr/
www.haut-rhin.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
haute-corse.gouv.fr,2022-12-13,301 Moved Permanently https://www.haute-corse.gouv.fr/,2022-12-13,301 Moved Permanently https://www.haute-corse.gouv.fr/
www.haute-corse.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
haute-garonne.gouv.fr,2022-12-13,301 Moved Permanently http://www.haute-garonne.gouv.fr/,2022-12-13,301 Moved Permanently http://www.haute-garonne.gouv.fr/
www.haute-garonne.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
haute-loire.gouv.fr,2022-12-13,301 Moved Permanently https://www.haute-loire.gouv.fr/,2022-12-13,301 Moved Permanently https://www.haute-loire.gouv.fr/
www.haute-loire.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
haute-marne.gouv.fr,2022-12-13,301 Moved Permanently http://www.haute-marne.gouv.fr/,2022-12-13,301 Moved Permanently http://www.haute-marne.gouv.fr/
www.haute-marne.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
haute-saone.gouv.fr,2022-12-13,301 Moved Permanently http://www.haute-saone.gouv.fr/,2022-12-13,301 Moved Permanently http://www.haute-saone.gouv.fr/
www.haute-saone.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
haute-savoie.gouv.fr,2022-12-13,301 Moved Permanently http://www.haute-savoie.gouv.fr/,2022-12-13,301 Moved Permanently http://www.haute-savoie.gouv.fr/
www.haute-savoie.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
haute-vienne.gouv.fr,2022-12-13,301 Moved Permanently http://www.haute-vienne.gouv.fr/,2022-12-13,301 Moved Permanently http://www.haute-vienne.gouv.fr/
www.haute-vienne.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
hautes-alpes.gouv.fr,2022-12-13,301 Moved Permanently https://www.hautes-alpes.gouv.fr/,2022-12-13,301 Moved Permanently https://www.hautes-alpes.gouv.fr/
www.hautes-alpes.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
hautes-pyrenees.gouv.fr,2022-12-13,301 Moved Permanently https://www.hautes-pyrenees.gouv.fr/,2022-12-13,301 Moved Permanently https://www.hautes-pyrenees.gouv.fr/
www.hautes-pyrenees.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
hauts-de-seine.gouv.fr,2022-12-13,301 Moved Permanently http://www.hauts-de-seine.gouv.fr/,2022-12-13,301 Moved Permanently http://www.hauts-de-seine.gouv.fr/
www.hauts-de-seine.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
herault.gouv.fr,2022-12-13,301 Moved Permanently http://www.herault.gouv.fr/,2022-12-13,301 Moved Permanently http://www.herault.gouv.fr/
www.herault.gouv.fr,2022-12-13,200 OK,2022-12-13,Timeout
ille-et-vilaine.gouv.fr,2022-12-13,301 Moved Permanently http://www.ille-et-vilaine.gouv.fr/,2022-12-13,301 Moved Permanently http://www.ille-et-vilaine.gouv.fr/
www.ille-et-vilaine.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
indre.gouv.fr,2022-12-13,301 Moved Permanently http://www.indre.gouv.fr/,2022-12-13,301 Moved Permanently http://www.indre.gouv.fr/
www.indre.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
indre-et-loire.gouv.fr,2022-12-13,301 Moved Permanently http://www.indre-et-loire.gouv.fr/,2022-12-13,301 Moved Permanently http://www.indre-et-loire.gouv.fr/
www.indre-et-loire.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
isere.gouv.fr,2022-12-13,301 Moved Permanently http://www.isere.gouv.fr/,2022-12-13,301 Moved Permanently http://www.isere.gouv.fr/
www.isere.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
jura.gouv.fr,2022-12-13,301 Moved Permanently http://www.jura.gouv.fr/,2022-12-13,301 Moved Permanently http://www.jura.gouv.fr/
www.jura.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
landes.gouv.fr,2022-12-13,301 Moved Permanently https://www.landes.gouv.fr/,2022-12-13,301 Moved Permanently https://www.landes.gouv.fr/
www.landes.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
loir-et-cher.gouv.fr,2022-12-13,301 Moved Permanently http://www.loir-et-cher.gouv.fr/,2022-12-13,301 Moved Permanently http://www.loir-et-cher.gouv.fr/
www.loir-et-cher.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
loire.gouv.fr,2022-12-13,301 Moved Permanently https://www.loire.gouv.fr/,2022-12-13,301 Moved Permanently https://www.loire.gouv.fr/
www.loire.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
loire-atlantique.gouv.fr,2022-12-13,301 Moved Permanently http://www.loire-atlantique.gouv.fr/,2022-12-13,301 Moved Permanently http://www.loire-atlantique.gouv.fr/
www.loire-atlantique.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
loiret.gouv.fr,2022-12-13,301 Moved Permanently http://www.loiret.gouv.fr/,2022-12-13,301 Moved Permanently http://www.loiret.gouv.fr/
www.loiret.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
lot.gouv.fr,2022-12-13,301 Moved Permanently https://www.lot.gouv.fr/,2022-12-13,301 Moved Permanently https://www.lot.gouv.fr/
www.lot.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
lot-et-garonne.gouv.fr,2022-12-13,301 Moved Permanently https://www.lot-et-garonne.gouv.fr/,2022-12-13,301 Moved Permanently https://www.lot-et-garonne.gouv.fr/
www.lot-et-garonne.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
lozere.gouv.fr,2022-12-13,301 Moved Permanently http://www.lozere.gouv.fr/,2022-12-13,301 Moved Permanently http://www.lozere.gouv.fr/
www.lozere.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
maine-et-loire.gouv.fr,2022-12-13,301 Moved Permanently https://www.maine-et-loire.gouv.fr/,2022-12-13,301 Moved Permanently https://www.maine-et-loire.gouv.fr/
www.maine-et-loire.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
manche.gouv.fr,2022-12-13,301 Moved Permanently http://www.manche.gouv.fr/,2022-12-13,301 Moved Permanently http://www.manche.gouv.fr/
www.manche.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
marne.gouv.fr,2022-12-13,301 Moved Permanently http://www.marne.gouv.fr/,2022-12-13,301 Moved Permanently http://www.marne.gouv.fr/
www.marne.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
mayenne.gouv.fr,2022-12-13,301 Moved Permanently http://www.mayenne.gouv.fr/,2022-12-13,301 Moved Permanently http://www.mayenne.gouv.fr/
www.mayenne.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
meurthe-et-moselle.gouv.fr,2022-12-13,301 Moved Permanently http://www.meurthe-et-moselle.gouv.fr/,2022-12-13,301 Moved Permanently http://www.meurthe-et-moselle.gouv.fr/
www.meurthe-et-moselle.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
meuse.gouv.fr,2022-12-13,301 Moved Permanently http://www.meuse.gouv.fr/,2022-12-13,301 Moved Permanently http://www.meuse.gouv.fr/
www.meuse.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
morbihan.gouv.fr,2022-12-13,301 Moved Permanently http://www.morbihan.gouv.fr/,2022-12-13,301 Moved Permanently http://www.morbihan.gouv.fr/
www.morbihan.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
moselle.gouv.fr,2022-12-13,301 Moved Permanently http://www.moselle.gouv.fr/,2022-12-13,301 Moved Permanently http://www.moselle.gouv.fr/
www.moselle.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
nievre.gouv.fr,2022-12-13,301 Moved Permanently https://www.nievre.gouv.fr/,2022-12-13,301 Moved Permanently https://www.nievre.gouv.fr/
www.nievre.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
nord.gouv.fr,2022-12-13,301 Moved Permanently http://www.nord.gouv.fr/,2022-12-13,301 Moved Permanently http://www.nord.gouv.fr/
www.nord.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
oise.gouv.fr,2022-12-13,301 Moved Permanently http://www.oise.gouv.fr/,2022-12-13,301 Moved Permanently http://www.oise.gouv.fr/
www.oise.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
orne.gouv.fr,2022-12-13,301 Moved Permanently https://www.orne.gouv.fr/,2022-12-13,301 Moved Permanently https://www.orne.gouv.fr/
www.orne.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
pas-de-calais.gouv.fr,2022-12-13,301 Moved Permanently http://www.pas-de-calais.gouv.fr/,2022-12-13,301 Moved Permanently http://www.pas-de-calais.gouv.fr/
www.pas-de-calais.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
martinique.pref.gouv.fr,2022-12-13,301 Moved Permanently http://www.martinique.gouv.fr/,2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:997)
www.martinique.pref.gouv.fr,2022-12-13,301 Moved Permanently http://www.martinique.gouv.fr/,2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:997)
saint-barth-saint-martin.pref.gouv.fr,2022-12-13,301 Moved Permanently http://www.saint-barth-saint-martin.gouv.fr/,2022-12-13,301 Moved Permanently http://www.saint-barth-saint-martin.gouv.fr/
www.saint-barth-saint-martin.pref.gouv.fr,2022-12-13,301 Moved Permanently http://www.saint-barth-saint-martin.gouv.fr/,2022-12-13,301 Moved Permanently http://www.saint-barth-saint-martin.gouv.fr/
puy-de-dome.gouv.fr,2022-12-13,301 Moved Permanently https://www.puy-de-dome.gouv.fr/,2022-12-13,301 Moved Permanently https://www.puy-de-dome.gouv.fr/
www.puy-de-dome.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
pyrenees-atlantiques.gouv.fr,2022-12-13,301 Moved Permanently http://www.pyrenees-atlantiques.gouv.fr/,2022-12-13,301 Moved Permanently http://www.pyrenees-atlantiques.gouv.fr/
www.pyrenees-atlantiques.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
pyrenees-orientales.gouv.fr,2022-12-13,301 Moved Permanently http://www.pyrenees-orientales.gouv.fr/,2022-12-13,301 Moved Permanently http://www.pyrenees-orientales.gouv.fr/
www.pyrenees-orientales.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
reunion.gouv.fr,2022-12-13,301 Moved Permanently https://www.reunion.gouv.fr,2022-12-13,301 Moved Permanently https://www.reunion.gouv.fr
www.reunion.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
rhone.gouv.fr,2022-12-13,301 Moved Permanently http://www.rhone.gouv.fr/,2022-12-13,301 Moved Permanently http://www.rhone.gouv.fr/
www.rhone.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
saone-et-loire.gouv.fr,2022-12-13,301 Moved Permanently https://www.saone-et-loire.gouv.fr/,2022-12-13,301 Moved Permanently https://www.saone-et-loire.gouv.fr/
www.saone-et-loire.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
sarthe.gouv.fr,2022-12-13,301 Moved Permanently https://www.sarthe.gouv.fr/,2022-12-13,301 Moved Permanently https://www.sarthe.gouv.fr/
www.sarthe.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
savoie.gouv.fr,2022-12-13,301 Moved Permanently http://www.savoie.gouv.fr/,2022-12-13,301 Moved Permanently http://www.savoie.gouv.fr/
www.savoie.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
seine-et-marne.gouv.fr,2022-12-13,301 Moved Permanently http://www.seine-et-marne.gouv.fr/,2022-12-13,301 Moved Permanently http://www.seine-et-marne.gouv.fr/
www.seine-et-marne.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
seine-maritime.gouv.fr,2022-12-13,301 Moved Permanently http://www.seine-maritime.gouv.fr/,2022-12-13,301 Moved Permanently http://www.seine-maritime.gouv.fr/
www.seine-maritime.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
seine-saint-denis.gouv.fr,2022-12-13,301 Moved Permanently http://www.seine-saint-denis.gouv.fr/,2022-12-13,301 Moved Permanently http://www.seine-saint-denis.gouv.fr/
www.seine-saint-denis.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
somme.gouv.fr,2022-12-13,301 Moved Permanently http://www.somme.gouv.fr/,2022-12-13,301 Moved Permanently http://www.somme.gouv.fr/
www.somme.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
tarn.gouv.fr,2022-12-13,301 Moved Permanently https://www.tarn.gouv.fr/,2022-12-13,301 Moved Permanently https://www.tarn.gouv.fr/
www.tarn.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
tarn-et-garonne.gouv.fr,2022-12-13,301 Moved Permanently http://www.tarn-et-garonne.gouv.fr/,2022-12-13,301 Moved Permanently http://www.tarn-et-garonne.gouv.fr/
www.tarn-et-garonne.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
territoire-belfort.gouv.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
www.territoire-belfort.gouv.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
val-de-marne.gouv.fr,2022-12-13,301 Moved Permanently http://www.val-de-marne.gouv.fr/,2022-12-13,301 Moved Permanently http://www.val-de-marne.gouv.fr/
www.val-de-marne.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
val-doise.gouv.fr,2022-12-13,301 Moved Permanently http://www.val-doise.gouv.fr/,2022-12-13,301 Moved Permanently http://www.val-doise.gouv.fr/
www.val-doise.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
var.gouv.fr,2022-12-13,301 Moved Permanently https://www.var.gouv.fr/,2022-12-13,301 Moved Permanently https://www.var.gouv.fr/
www.var.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
vaucluse.gouv.fr,2022-12-13,301 Moved Permanently https://www.vaucluse.gouv.fr,2022-12-13,301 Moved Permanently https://www.vaucluse.gouv.fr
www.vaucluse.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
vendee.gouv.fr,2022-12-13,301 Moved Permanently https://www.vendee.gouv.fr,2022-12-13,301 Moved Permanently https://www.vendee.gouv.fr
www.vendee.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
vienne.gouv.fr,2022-12-13,301 Moved Permanently http://www.vienne.gouv.fr/,2022-12-13,301 Moved Permanently http://www.vienne.gouv.fr/
www.vienne.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
vosges.gouv.fr,2022-12-13,301 Moved Permanently http://www.vosges.gouv.fr/,2022-12-13,301 Moved Permanently http://www.vosges.gouv.fr/
www.vosges.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
yonne.gouv.fr,2022-12-13,301 Moved Permanently http://www.yonne.gouv.fr/,2022-12-13,301 Moved Permanently http://www.yonne.gouv.fr/
www.yonne.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
yvelines.gouv.fr,2022-12-13,301 Moved Permanently http://www.yvelines.gouv.fr/,2022-12-13,301 Moved Permanently http://www.yvelines.gouv.fr/
www.yvelines.gouv.fr,2022-12-13,200 OK,2022-12-13,200 OK
