name,http_last_check,http_status,https_last_check,https_status
universita.corsicafr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
ensam.eu,2022-12-13,Name or service not known,2022-12-13,Name or service not known
www.ensam.eu,2022-12-13,301 Moved Permanently https://www.artsetmetiers.fr/,2022-12-13,301 Moved Permanently https://www.artsetmetiers.fr/
artsetmetiers.fr,2022-12-13,200 OK,2022-12-13,200 OK
www.artsetmetiers.fr,2022-12-13,200 OK,2022-12-13,200 OK
centralesupelec.fr,2022-12-13,301 Moved Permanently https://www.centralesupelec.fr/,2022-12-13,301 Moved Permanently https://www.centralesupelec.fr/
www.centralesupelec.fr,2022-12-13,200 OK,2022-12-13,200 OK
bibliotheque-virtuelle.clermont-universite.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
college-de-france.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
www.college-de-france.fr,2022-12-13,200 OK,2022-12-13,200 OK
cyu.fr,2022-12-13,301 Moved Permanently https://www.cyu.fr/,2022-12-13,301 Moved Permanently https://www.cyu.fr/
www.cyu.fr,2022-12-13,200 ,2022-12-13,200 
devenir-aviateur.fr,2022-12-13,200 OK,2022-12-13,200 OK
ec-nantes.fr,2022-12-13,301 Moved Permanently https://www.ec-nantes.fr/,2022-12-13,301 Moved Permanently https://www.ec-nantes.fr/
www.ec-nantes.fr,2022-12-13,200 ,2022-12-13,200 
ecole-navale.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
www.ecole-navale.fr,2022-12-13,200 OK,2022-12-13,200 OK
ecoledesponts.fr,2022-12-13,200 OK,2022-12-13,200 OK
www.ecoledesponts.fr,2022-12-13,301 Moved Permanently https://ecoledesponts.fr/,2022-12-13,301 Moved Permanently https://ecoledesponts.fr/
ehesp.fr,2022-12-13,302 Found https://www.ehesp.fr/,2022-12-13,302 Found https://www.ehesp.fr/
www.ehesp.fr,2022-12-13,200 OK,2022-12-13,200 OK
ehess.fr,2022-12-13,301 Moved Permanently https://www.ehess.fr/,2022-12-13,301 Moved Permanently https://www.ehess.fr/fr
www.ehess.fr,2022-12-13,200 OK,2022-12-13,200 OK
enac.fr,2022-12-13,301 Moved Permanently http://www.enac.fr/,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'enac.fr'. (_ssl.c:997)"
www.enac.fr,2022-12-13,200 OK,2022-12-13,200 OK
enpc.fr,2022-12-13,301 Moved Permanently https://www.ecoledesponts.fr/,2022-12-13,301 Moved Permanently https://www.ecoledesponts.fr/
enssib.fr,2022-12-13,302 Found https://sso.enssib.fr/cas/login?service=http%3a%2f%2fenssibweb.enssib.fr%2f,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'enssib.fr'. (_ssl.c:997)"
sso.enssib.fr,2022-12-13,200 OK,2022-12-13,200 OK
entpe.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
www.entpe.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
epf-normandie.fr,2022-12-13,301 Moved Permanently http://www.epf-normandie.fr/,2022-12-13,"Connect call failed ('46.183.50.17', 443)"
www.epf-normandie.fr,2022-12-13,200 OK,2022-12-13,"Connect call failed ('46.183.50.17', 443)"
inha.fr,2022-12-13,301 Moved Permanently https://www.inha.fr//,2022-12-13,200 OK
ipb.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
www.ipb.fr,2022-12-13,200 OK,2022-12-13,200 OK
isae.fr,2022-12-13,301 Moved Permanently https://www.isae-supaero.fr/,2022-12-13,301 Moved Permanently https://www.isae-supaero.fr/
isae-supaero.fr,2022-12-13,301 Moved Permanently https://www.isae-supaero.fr/,2022-12-13,301 Moved Permanently https://www.isae-supaero.fr/
www.isae-supaero.fr,2022-12-13,200 OK,2022-12-13,200 OK
pantheonsorbonne.fr,2022-12-13,302 Moved Temporarily https://www.pantheonsorbonne.fr/,2022-12-13,302 Moved Temporarily https://www.pantheonsorbonne.fr/
www.pantheonsorbonne.fr,2022-12-13,200 OK,2022-12-13,200 OK
parisnanterre.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
www.parisnanterre.fr,2022-12-13,200 200,2022-12-13,200 200
sorbonne-universite.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
www.sorbonne-universite.fr,2022-12-13,200 OK,2022-12-13,200 OK
supmaritime.fr,2022-12-13,301 Moved Permanently https://www.supmaritime.fr/,2022-12-13,301 Moved Permanently https://www.supmaritime.fr/
www.supmaritime.fr,2022-12-13,200 OK,2022-12-13,200 OK
u-bordeaux.fr,2022-12-13,301 Moved Permanently https://www.u-bordeaux.fr/,2022-12-13,[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:997)
www.u-bordeaux.fr,2022-12-13,200 OK,2022-12-13,200 OK
u-bordeaux-montaigne.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
www.u-bordeaux-montaigne.fr,2022-12-13,200 OK,2022-12-13,200 OK
u-bourgogne.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
www.u-bourgogne.fr,2022-12-13,200 OK,2022-12-13,200 OK
u-paris.fr,2022-12-13,200 OK,2022-12-13,200 OK
u-paris2.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
www.u-paris2.fr,2022-12-13,200 OK,2022-12-13,200 OK
u-pec.fr,2022-12-13,Timeout,2022-12-13,Timeout
u-picardie.fr,2022-12-13,302 Found https://www.u-picardie.fr/,2022-12-13,302 Found https://www.u-picardie.fr/
www.u-picardie.fr,2022-12-13,200 OK,2022-12-13,200 OK
u-strasbg.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
